"STNAME","CTYNAME","TOT_POP","Pmale","Pwhite","Pblack","Pasian","Phispanic","Page1","Page2","Page3","Page4","Page5","Page6","Page7","Page8","Page9","Page10","Page11","Page12","Page13","Page14","Page15","Page16","Page17","Page18"
"Washington","Grant County",97331,0.508974530211341,0.9221625175946,0.0181545448007315,0.0114763025141014,0.421294346097338,0.0767484152017343,0.0857178083036237,0.0851321778261808,0.0738202628145195,0.0664844705181289,0.0733579229639067,0.0635871407876216,0.061470651693705,0.0567547852174538,0.0555424273869579,0.0530868890692585,0.0573301414759943,0.0538163586113366,0.0456175319271352,0.0372132208648837,0.0241855112965037,0.0145791166226588,0.015555167418397
"Washington","Grays Harbor County",73901,0.511752209036414,0.872017969986874,0.013937565120905,0.0147494621182393,0.102339616513985,0.0528680261430833,0.0586730896740234,0.058537773507801,0.0537881760733955,0.0502699557516136,0.0605404527678922,0.0580235720761559,0.0593090756552685,0.0546271363039742,0.0586460264407789,0.0622724996955386,0.0737743738244408,0.0825969878621399,0.0760206221837323,0.0575093706445109,0.0379155897755105,0.0232473173570046,0.0213799542631358
"Washington","Island County",84460,0.498638408714184,0.854167653327019,0.0313639592706607,0.0506985555292446,0.0812100402557424,0.0569026758228747,0.0511129528771016,0.0461875443997158,0.0447904333412266,0.0702225905754203,0.075195358749704,0.0655221406582998,0.0568789959744258,0.0448141131896756,0.0470992185650012,0.0535874970400189,0.0660904570210751,0.0757636751124793,0.0818257163154156,0.0692043570921146,0.0451456310679612,0.0252663982950509,0.024390243902439
"Washington","Jefferson County",31729,0.489394560181537,0.913864288190614,0.0103060291846576,0.0190046960194144,0.0369063002300734,0.0301616817422547,0.0326515175391598,0.0342903967978821,0.0344164644331684,0.0339437108008447,0.041318667465095,0.0438085032620001,0.0451952472501497,0.0402470925651612,0.0492609284881339,0.0549654889848404,0.0794856440480318,0.111727441772511,0.125153644930505,0.107504175990419,0.0681710737810836,0.0352989378801727,0.0323993822685871
"Washington","King County",2233163,0.50202515445581,0.668904598544755,0.0692573717189475,0.192109577312538,0.0977371557741195,0.0582711606810609,0.0572098857091936,0.0552055537370089,0.0536033419862321,0.059566184823947,0.0924522750914286,0.0906378083462784,0.081043793041529,0.0691575133566157,0.0689058523717257,0.0629027079528006,0.0624244625224401,0.0564705755916608,0.0455130234559681,0.0339334835835987,0.0214390978177589,0.0140831636562132,0.0171801162745397
"Washington","Kitsap County",269805,0.511413798854728,0.82560367672949,0.0310742943978058,0.0545949852671374,0.0797724282352069,0.0581456978187951,0.0561701969941254,0.0567520987379774,0.054246585496933,0.0756138692759586,0.0780823187116621,0.0692388947573247,0.0647059913641334,0.0541761642667853,0.0566483200830229,0.0599803561831693,0.0696836604214155,0.0683011804822001,0.0613961935471915,0.0498100479976279,0.0308074349993514,0.017738737236152,0.0185022516261745
"Washington","Kittitas County",47364,0.504370407904738,0.915484334093404,0.0119288911409509,0.0225065450553163,0.0894350139346339,0.0460476311122371,0.0484967485854235,0.0482222785237733,0.0824676969850519,0.158643695633815,0.0729456971539566,0.0537750190017735,0.0535005489401233,0.0471032851955071,0.0513470146102525,0.0507769614052867,0.0637615066295076,0.062621400219576,0.0553373870450131,0.042711764209104,0.0284182079216282,0.0173338400472933,0.0164893167806773
"Washington","Klickitat County",22107,0.504681775003393,0.927081919753924,0.00678518116433709,0.00940878454788076,0.119147781245759,0.0498484642873298,0.0521554258832044,0.0566336454516669,0.0523363640475867,0.0445107884380513,0.0480390826435066,0.0533767584927851,0.0579454471434387,0.0594381869995929,0.0618356176776587,0.0629212466639526,0.0751345727597593,0.0868955534446103,0.085312344506265,0.0646853937666802,0.043244221287375,0.0244718867327091,0.0212149997738273
"Washington","Lewis County",79604,0.499723631978293,0.92031807446862,0.00925832872719964,0.0130018592030551,0.102947088086026,0.0591176322797849,0.0589668860861263,0.059218129742224,0.0585397718707603,0.05259785940405,0.0621325561529571,0.0571704939450279,0.0595070599467363,0.0548967388573438,0.0595321843123461,0.0601854178182001,0.0736520777850359,0.0746319280438169,0.0696573036530828,0.055637907642832,0.0387668961358726,0.024081704436963,0.0217074518868399
"Washington","Lincoln County",10740,0.511359404096834,0.940130353817505,0.00558659217877095,0.00512104283054004,0.0347299813780261,0.0515828677839851,0.0573556797020484,0.065828677839851,0.0621973929236499,0.043389199255121,0.040316573556797,0.043389199255121,0.0536312849162011,0.0512104283054004,0.0546554934823091,0.0565176908752328,0.0754189944134078,0.0888268156424581,0.0809124767225326,0.0675977653631285,0.0445996275605214,0.0307262569832402,0.0318435754189944
